Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,066006,1985,2.2,54.9,87.0,297.4,128.8,123.8,83.6,27.5,76.2,140.0,63.0,91.0,1175.4
IDCJAC0001,066006,1986,202.1,90.2,18.6,117.7,55.8,16.0,48.7,482.7,31.2,99.2,172.2,6.8,1341.2
IDCJAC0001,066006,1987,83.2,18.2,149.2,70.8,47.9,82.6,113.9,189.1,8.1,272.5,180.6,82.3,1298.4
IDCJAC0001,066006,1988,96.3,100.0,79.0,347.7,272.4,86.1,109.3,72.1,145.2,0.6,166.1,132.7,1607.5
IDCJAC0001,066006,1989,158.8,143.4,143.2,380.4,157.6,249.8,32.7,66.2,2.2,15.3,60.6,141.6,1551.8
IDCJAC0001,066006,1990,82.9,664.7,139.1,341.5,110.1,42.0,75.7,201.0,202.1,53.6,29.8,42.0,1984.5
IDCJAC0001,066006,1991,99.6,51.3,17.1,47.4,137.2,347.1,105.3,4.6,18.7,11.9,121.7,185.1,1147.0
IDCJAC0001,066006,1992,74.5,490.2,86.9,67.5,73.6,97.3,15.8,34.2,25.3,87.7,147.1,205.4,1405.5
IDCJAC0001,066006,1993,65.5,75.8,92.1,62.8,18.8,60.8,99.8,66.6,169.3,50.5,94.2,32.2,888.4
IDCJAC0001,066006,1994,42.0,87.6,171.0,122.0,40.1,70.1,79.9,35.8,28.0,49.2,53.5,69.1,848.3
IDCJAC0001,066006,1995,101.8,61.2,176.9,41.7,180.9,114.6,1.5,0.0,223.3,35.5,170.9,81.2,1189.5
IDCJAC0001,066006,1996,132.5,39.6,59.1,42.6,169.7,176.2,52.2,130.6,142.9,17.3,114.8,37.8,1115.3
IDCJAC0001,066006,1997,178.0,124.6,27.4,6.6,200.4,110.0,190.6,38.4,137.2,54.8,25.8,30.0,1123.8
IDCJAC0001,066006,1998,90.8,33.9,19.5,344.1,333.3,148.6,89.8,532.3,43.6,37.9,73.4,59.3,1806.5
IDCJAC0001,066006,1999,null,null,31.1,269.1,74.4,91.2,202.5,135.8,null,174.5,86.2,92.8,null
IDCJAC0001,066006,2000,57.3,24.3,null,61.6,null,null,23.5,23.6,32.2,84.4,null,46.4,null
IDCJAC0001,066006,2001,182.2,null,105.3,null,null,34.0,127.2,68.9,29.6,35.7,null,44.5,null
IDCJAC0001,066006,2002,106.7,384.2,52.4,34.6,101.5,30.8,21.8,25.6,24.0,8.6,17.4,73.0,880.6
IDCJAC0001,066006,2003,15.2,65.6,151.6,223.6,377.2,52.6,64.8,54.4,5.2,106.4,106.8,58.8,1282.2
IDCJAC0001,066006,2004,null,127.8,100.2,27.8,9.3,45.4,42.2,150.8,51.8,246.0,75.6,88.0,null
IDCJAC0001,066006,2005,72.4,146.4,null,27.8,46.4,80.0,82.0,1.2,null,45.6,132.8,28.0,null
IDCJAC0001,066006,2006,null,50.7,42.7,null,47.1,202.0,null,102.2,180.5,22.0,49.1,103.6,null
IDCJAC0001,066006,2007,49.0,108.6,84.7,196.5,12.6,null,63.2,162.0,44.4,25.7,179.7,116.9,null
IDCJAC0001,066006,2008,null,263.1,65.2,144.6,3.7,143.8,100.0,45.4,95.2,75.2,69.3,68.4,null
IDCJAC0001,066006,2009,28.2,114.9,61.8,147.0,148.6,null,60.4,null,17.6,null,19.4,73.2,null
IDCJAC0001,066006,2010,43.4,261.8,null,29.6,196.2,176.8,123.9,42.2,47.1,99.7,153.2,97.8,null
IDCJAC0001,066006,2011,69.8,null,null,null,143.7,96.3,277.7,54.3,81.1,50.6,168.4,83.9,null
IDCJAC0001,066006,2012,195.2,null,271.5,189.2,53.3,267.8,65.9,23.7,25.2,31.4,53.4,47.1,null
IDCJAC0001,066006,2013,186.0,188.2,65.7,232.3,111.0,358.6,38.8,17.0,56.2,38.0,197.9,37.9,1527.6
IDCJAC0001,066006,2014,20.4,62.8,128.6,null,39.0,68.6,18.9,214.2,54.8,94.2,23.7,139.7,null
IDCJAC0001,066006,2015,200.6,57.7,null,406.1,102.5,126.3,49.0,94.0,94.1,53.1,127.9,116.8,null
IDCJAC0001,066006,2016,268.2,34.2,220.8,121.1,7.9,374.8,101.8,160.9,77.8,32.1,30.2,65.5,1495.3
IDCJAC0001,066006,2017,55.6,236.0,340.1,84.8,34.3,207.2,14.8,26.4,0.6,61.0,71.8,null,null
IDCJAC0001,066006,2018,43.4,102.4,121.6,26.3,null,null,null,null,null,null,null,null,null
